emp_no,first_name,last_name,to_date
10001,Georgi,Facello,9999-01-01
10004,Chirstian,Koblick,9999-01-01
10009,Sumant,Peac,9999-01-01
10018,Kazuhide,Peha,9999-01-01
10018,Kazuhide,Peha,1992-07-29
10035,Alain,Chappelet,9999-01-01
10053,Sanjiv,Zschoche,9999-01-01
10058,Berhard,McFarlin,9999-01-01
10066,Kwee,Schusler,9999-01-01
10067,Claudi,Stavenow,9999-01-01
10070,Reuven,Garigliano,1995-10-18
10070,Reuven,Garigliano,9999-01-01
10072,Hironoby,Sidou,9999-01-01
10076,Erez,Ritzmann,9999-01-01
10088,Jungsoon,Syrzycki,1992-03-21
10088,Jungsoon,Syrzycki,9999-01-01
10100,Hironobu,Haraldson,9999-01-01
10103,Akemi,Birch,9999-01-01
10108,Lunjin,Giveon,2001-10-20
10108,Lunjin,Giveon,1999-12-06
10116,Dayanand,Czap,1995-12-03
10116,Dayanand,Czap,1998-11-01
10126,Kayoko,Valtorta,9999-01-01
10129,Armond,Peir,9999-01-01
10130,Nishit,Casperson,9999-01-01
10134,Diederik,Siprelle,9999-01-01
10134,Diederik,Siprelle,1993-12-02
10138,Perry,Shimshoni,9999-01-01
10149,Xiadong,Perry,1996-08-27
10150,Zhenbing,Perng,9999-01-01
10152,Jaques,Munro,1987-08-03
10153,Heekeun,Majewski,9999-01-01
10157,Nigel,Aloisi,9999-01-01
10161,Hairong,Mellouli,1994-01-05
10186,Shigehito,Kropatsch,1997-08-16
10198,Pranav,Furedi,9999-01-01
10215,Xiaobin,Duclos,9999-01-01
10217,Yongmin,Roison,1993-08-05
10224,Leon,Trogemann,9999-01-01
10229,Ulises,Takanami,2000-06-30
10233,Lein,Vendrig,9999-01-01
10258,Basil,Ishibashi,9999-01-01
10272,Yishai,Cannane,9999-01-01
10282,Hercules,Benzmuller,9999-01-01
10283,Kauko,Birjandi,9999-01-01
10286,Saddek,Gopalakrishnan,1999-01-24
10302,Faiza,Baer,1999-11-09
10305,Hirochika,Piancastelli,1992-06-02
10326,Masali,Czap,9999-01-01
10327,Roded,Facello,1988-05-10
10327,Roded,Facello,1993-05-22
10340,Djelloul,Laventhal,9999-01-01
10347,Pradeep,Kaminger,9999-01-01
10355,Satyanarayana,Cochrane,9999-01-01
10356,Vasilis,Standera,9999-01-01
10363,Toshiki,Muniz,1987-05-18
10363,Toshiki,Muniz,1993-02-12
10364,Nakhoon,Dengi,9999-01-01
10372,Anneli,Frijda,9999-01-01
10387,Parto,Wrigley,9999-01-01
10395,Takahiro,Deverell,2001-08-13
10396,Sibyl,Rahier,9999-01-01
10402,Volkmar,Ebeling,9999-01-01
10404,Prodip,Rosti,9999-01-01
10426,Arunas,Luce,9999-01-01
10429,Martien,Improta,9999-01-01
10432,Hisao,Tiemann,9999-01-01
10442,Volkmar,Unno,2001-03-13
10451,Bodh,Ranta,9999-01-01
10453,Tsvetan,Matzel,9999-01-01
10463,Ung,Zaiane,9999-01-01
10466,Jiakeng,Himler,2000-08-15
10486,Amstein,Kossowski,9999-01-01
10494,Yakkov,Servieres,9999-01-01
10504,Xiong,Varker,9999-01-01
10512,Udi,Gihr,9999-01-01
10519,Yonghoan,Alencar,2001-10-13
10519,Yonghoan,Alencar,1994-02-09
10522,Marke,Cesareni,9999-01-01
